course_title,course_link
Level 3 Diploma in Health and Social Care +  Care Certificate Standards (1 to 15) Course,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/348218#/courses/discount
"Microsoft Office Skills (Microsoft Excel, Word, PowerPoint) Administration & Office Skills",https://www.reed.co.uk/courses/microsoft-office-skills-microsoft-excel-word-powerpoint-administration-office-skills/363674#/courses/discount
Microsoft Excel Complete Course - Beginner To Professional (Updated 2025),https://www.reed.co.uk/courses/microsoft-excel-complete-course-beginner-to-professional-updated-2025/227846#/courses/discount
"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",https://www.reed.co.uk/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/409690#/courses/discount
Level 2 & 3 Diploma in Health and Social Care Certificate & Healthcare Assistant Course,https://www.reed.co.uk/courses/level-2-3-diploma-in-health-and-social-care-certificate-healthcare-assistant-course/358981#/courses/discount
Level 5 Diploma in Health and Social Care with Care Certificate Standards (1 to 15),https://www.reed.co.uk/courses/level-5-diploma-in-health-and-social-care-with-care-certificate-standards-1-to-15/289964#/courses/discount
Office Administration & Reception (Receptionist) Skills Training - Level 3 Diploma,https://www.reed.co.uk/courses/office-administration-reception-receptionist-skills-training-level-3-diploma/328334#/courses/discount
CACHE Level 3 Teaching Assistant & SEN Certificate,https://www.reed.co.uk/courses/cache-level-3-teaching-assistant-sen-certificate/51553#/courses/discount
Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,https://www.reed.co.uk/courses/care-certificate-standards-1-to-16--level-2-3-diploma-in-health-and-social-care/477502#/courses/discount
"Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",https://www.reed.co.uk/courses/teaching-assistant-ta-with-sen-teaching-assistant-autism-adhd-child-care/228586#/courses/discount
Food Hygiene Level 2,https://www.reed.co.uk/courses/food-hygiene-level-2/277105#/courses/discount
First Aid at Work Training,https://www.reed.co.uk/courses/first-aid-at-work-training/264321#/courses/discount
Food Hygiene and Safety Level 3,https://www.reed.co.uk/courses/food-hygiene-and-safety-level-3/274566#/courses/discount
"Teaching Assistant Level 3 + Early Years, Teaching and Child Care & SEN Teaching Assistant",https://www.reed.co.uk/courses/teaching-assistant-level-3--early-years-teaching-and-child-care-sen-teaching-assistant/413756#/courses/discount
"Xero, Quickbooks, Sage 50 Bookkeeping with Accounting and Finance for Tax, Payroll & VAT",https://www.reed.co.uk/courses/xero-quickbooks-sage-50-bookkeeping-with-accounting-and-finance-for-tax-payroll-vat/229553#/courses/discount
"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",https://www.reed.co.uk/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/492254#/courses/discount
Level 7 Advanced Diploma - Project Management for Project Manager,https://www.reed.co.uk/courses/level-7-advanced-diploma-project-management-for-project-manager/328019#/courses/discount
Certificate in Bookkeeping with Basics of Accounting - Level 1 & 2,https://www.reed.co.uk/courses/certificate-in-bookkeeping-with-basics-of-accounting-level-1-2/474516#/courses/discount
Level 3 Diploma in Health and Social Care + Care Certificate Standards (1 to 15) Course,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/288002#/courses/discount
Level 3 Diploma in Health and Social Care with Care Certificate,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care-with-care-certificate/355468#/courses/discount
"Microsoft Excel Complete Course - for Beginner, Intermediate & Advanced (Updated 2025)",https://www.reed.co.uk/courses/microsoft-excel-complete-course-for-beginner-intermediate-advanced-updated-2025/271792#/courses/discount
Teaching Assistant Diploma Level 2 & 3,https://www.reed.co.uk/courses/teaching-assistant-diploma-level-2-3/313609#/courses/discount
"Data Analytics, Power BI, Tableau, Python, Cloud Computing Analyst, Microsoft Excel & IT",https://www.reed.co.uk/courses/data-analytics-power-bi-tableau-python-cloud-computing-analyst-microsoft-excel-it/416128#/courses/discount
"HR: Human Resources Management (Employment Law, UK Payroll & Recruitment) Diploma",https://www.reed.co.uk/courses/hr-human-resources-management-employment-law-uk-payroll-recruitment-diploma/327495#/courses/discount
"First Aid and Paediatric First Aid: CPR, Oxygen First Aid, Childcare & Child Protection",https://www.reed.co.uk/courses/first-aid-and-paediatric-first-aid-cpr-oxygen-first-aid-childcare-child-protection/268295#/courses/discount
"COSHH, Fire Safety with Health and Safety - CPD Accredited",https://www.reed.co.uk/courses/coshh-fire-safety-with-health-and-safety-cpd-accredited/501054#/courses/discount?pageno=2
PRINCE2® Foundation — Exam Included,https://www.reed.co.uk/courses/prince2-foundation--exam-included/479873#/courses/discount?pageno=2
"Advanced Diploma in Digital Marketing (Social Media Marketing, Google Ads, PPC, & SEO)",https://www.reed.co.uk/courses/advanced-diploma-in-digital-marketing-social-media-marketing-google-ads-ppc-seo/336624#/courses/discount?pageno=2
Level 3 Safeguarding Children and Vulnerable Adult,https://www.reed.co.uk/courses/level-3-safeguarding-children-and-vulnerable-adult/479594#/courses/discount?pageno=2
"Tax Accounting and Finance (Income Tax, Vat, Payroll, Corporate Tax & Financial  Analysis)",https://www.reed.co.uk/courses/tax-accounting-and-finance-income-tax-vat-payroll-corporate-tax-financial-analysis/360798#/courses/discount?pageno=2
"Microsoft Office Skills (Microsoft Excel, Word, Access), Data Analysis & Office Skills",https://www.reed.co.uk/courses/microsoft-office-skills-microsoft-excel-word-access-data-analysis-office-skills/227847#/courses/discount?pageno=2
Leadership Management & Team Leader - Level 7 Advanced Diploma,https://www.reed.co.uk/courses/leadership-management-team-leader-level-7-advanced-diploma/332056#/courses/discount?pageno=2
