,course_title,course_link
0,Level 3 Diploma in Health and Social Care +  Care Certificate Standards (1 to 15) Course,/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/348218#/courses/discount
1,"Microsoft Office Skills (Microsoft Excel, Word, PowerPoint) Administration & Office Skills",/courses/microsoft-office-skills-microsoft-excel-word-powerpoint-administration-office-skills/363674#/courses/discount
2,Microsoft Excel Complete Course - Beginner To Professional (Updated 2025),/courses/microsoft-excel-complete-course-beginner-to-professional-updated-2025/227846#/courses/discount
3,"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/409690#/courses/discount
4,Level 2 & 3 Diploma in Health and Social Care Certificate & Healthcare Assistant Course,/courses/level-2-3-diploma-in-health-and-social-care-certificate-healthcare-assistant-course/358981#/courses/discount
5,Level 5 Diploma in Health and Social Care with Care Certificate Standards (1 to 15),/courses/level-5-diploma-in-health-and-social-care-with-care-certificate-standards-1-to-15/289964#/courses/discount
6,Office Administration & Reception (Receptionist) Skills Training - Level 3 Diploma,/courses/office-administration-reception-receptionist-skills-training-level-3-diploma/328334#/courses/discount
7,CACHE Level 3 Teaching Assistant & SEN Certificate,/courses/cache-level-3-teaching-assistant-sen-certificate/51553#/courses/discount
8,Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,/courses/care-certificate-standards-1-to-16--level-2-3-diploma-in-health-and-social-care/477502#/courses/discount
9,"Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",/courses/teaching-assistant-ta-with-sen-teaching-assistant-autism-adhd-child-care/228586#/courses/discount
10,Food Hygiene Level 2,/courses/food-hygiene-level-2/277105#/courses/discount
11,First Aid at Work Training,/courses/first-aid-at-work-training/264321#/courses/discount
12,Food Hygiene and Safety Level 3,/courses/food-hygiene-and-safety-level-3/274566#/courses/discount
13,"Teaching Assistant Level 3 + Early Years, Teaching and Child Care & SEN Teaching Assistant",/courses/teaching-assistant-level-3--early-years-teaching-and-child-care-sen-teaching-assistant/413756#/courses/discount
14,"Xero, Quickbooks, Sage 50 Bookkeeping with Accounting and Finance for Tax, Payroll & VAT",/courses/xero-quickbooks-sage-50-bookkeeping-with-accounting-and-finance-for-tax-payroll-vat/229553#/courses/discount
15,"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/492254#/courses/discount
16,Level 7 Advanced Diploma - Project Management for Project Manager,/courses/level-7-advanced-diploma-project-management-for-project-manager/328019#/courses/discount
17,Certificate in Bookkeeping with Basics of Accounting - Level 1 & 2,/courses/certificate-in-bookkeeping-with-basics-of-accounting-level-1-2/474516#/courses/discount
18,Level 3 Diploma in Health and Social Care + Care Certificate Standards (1 to 15) Course,/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/288002#/courses/discount
19,Level 3 Diploma in Health and Social Care with Care Certificate,/courses/level-3-diploma-in-health-and-social-care-with-care-certificate/355468#/courses/discount
20,"Microsoft Excel Complete Course - for Beginner, Intermediate & Advanced (Updated 2025)",/courses/microsoft-excel-complete-course-for-beginner-intermediate-advanced-updated-2025/271792#/courses/discount
21,Teaching Assistant Diploma Level 2 & 3,/courses/teaching-assistant-diploma-level-2-3/313609#/courses/discount
22,"Data Analytics, Power BI, Tableau, Python, Cloud Computing Analyst, Microsoft Excel & IT",/courses/data-analytics-power-bi-tableau-python-cloud-computing-analyst-microsoft-excel-it/416128#/courses/discount
23,"HR: Human Resources Management (Employment Law, UK Payroll & Recruitment) Diploma",/courses/hr-human-resources-management-employment-law-uk-payroll-recruitment-diploma/327495#/courses/discount
24,"First Aid and Paediatric First Aid: CPR, Oxygen First Aid, Childcare & Child Protection",/courses/first-aid-and-paediatric-first-aid-cpr-oxygen-first-aid-childcare-child-protection/268295#/courses/discount
25,"COSHH, Fire Safety with Health and Safety - CPD Accredited",/courses/coshh-fire-safety-with-health-and-safety-cpd-accredited/501054#/courses/discount?pageno=2
26,PRINCE2® Foundation — Exam Included,/courses/prince2-foundation--exam-included/479873#/courses/discount?pageno=2
27,"Advanced Diploma in Digital Marketing (Social Media Marketing, Google Ads, PPC, & SEO)",/courses/advanced-diploma-in-digital-marketing-social-media-marketing-google-ads-ppc-seo/336624#/courses/discount?pageno=2
28,Level 3 Safeguarding Children and Vulnerable Adult,/courses/level-3-safeguarding-children-and-vulnerable-adult/479594#/courses/discount?pageno=2
29,"Tax Accounting and Finance (Income Tax, Vat, Payroll, Corporate Tax & Financial  Analysis)",/courses/tax-accounting-and-finance-income-tax-vat-payroll-corporate-tax-financial-analysis/360798#/courses/discount?pageno=2
30,"Microsoft Office Skills (Microsoft Excel, Word, Access), Data Analysis & Office Skills",/courses/microsoft-office-skills-microsoft-excel-word-access-data-analysis-office-skills/227847#/courses/discount?pageno=2
31,Leadership Management & Team Leader - Level 7 Advanced Diploma,/courses/leadership-management-team-leader-level-7-advanced-diploma/332056#/courses/discount?pageno=2
32,"Teaching Assistant 1 & 3 + Early Years, Teaching and Child Care & SEN Teaching Assistant",/courses/teaching-assistant-1-3--early-years-teaching-and-child-care-sen-teaching-assistant/419509#/courses/discount?pageno=2
33,"UK Employment Law with HR, Pension & Payroll Administrator Diploma Level 3",/courses/uk-employment-law-with-hr-pension-payroll-administrator-diploma-level-3/276112#/courses/discount?pageno=2
34,"Massage Therapy: Reflexology, Aromatherapy, Lymphatic Drainage Massage & Sports Massage",/courses/massage-therapy-reflexology-aromatherapy-lymphatic-drainage-massage-sports-massage/290264#/courses/discount?pageno=2
35,"Social Media Marketing:  Facebook, Twitter, YouTube, Instagram, SEO & Digital Marketing",/courses/social-media-marketing-facebook-twitter-youtube-instagram-seo-digital-marketing/360813#/courses/discount?pageno=2
36,Level 2 & 3 Diploma in Health and Social Care + Care Certificate Standards (1 to 16),/courses/level-2-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-16/428392#/courses/discount?pageno=2
37,"Xero, Quickbooks, Sage 50 Bookkeeping with Accounting and Finance for Tax, Payroll & VAT",/courses/xero-quickbooks-sage-50-bookkeeping-with-accounting-and-finance-for-tax-payroll-vat/272306#/courses/discount?pageno=2
38,Level 7 Diploma in Leadership & Management,/courses/level-7-diploma-in-leadership-management/271940#/courses/discount?pageno=2
39,Safeguarding Children - Level 3,/courses/safeguarding-children-level-3/316377#/courses/discount?pageno=2
40,"Functional Skills Maths Level 2, Functional Skills English Level 2, Functional Skills IT",/courses/functional-skills-maths-level-2-functional-skills-english-level-2-functional-skills-it/272139#/courses/discount?pageno=2
41,"COSHH, Fire Safety with Health and Safety - CPD Certified",/courses/coshh-fire-safety-with-health-and-safety-cpd-certified/360586#/courses/discount?pageno=2
42,Accounting and Finance Practical Training using Sage 50 QuickBooks IRIS BrightPay and Xero,/courses/accounting-and-finance-practical-training-using-sage-50-quickbooks-iris-brightpay-and-xero/240253#/courses/discount?pageno=2
43,"Anti Money Laundering (AML),  KYC and Risk Management",/courses/anti-money-laundering-aml-kyc-and-risk-management/267462#/courses/discount?pageno=2
44,"Functional Skills Maths Level 2, Functional Skills English Level 2, Functional Skills IT",/courses/functional-skills-maths-level-2-functional-skills-english-level-2-functional-skills-it/288353#/courses/discount?pageno=2
45,Sexual Harassment Awareness and Prevention in the Workplace - CPD Accredited,/courses/sexual-harassment-awareness-and-prevention-in-the-workplace-cpd-accredited/449781#/courses/discount?pageno=2
46,Paediatric First Aid,/courses/paediatric-first-aid/267396#/courses/discount?pageno=2
47,Level 3 Diploma in Control and Administration of Medication - CPD Accredited,/courses/level-3-diploma-in-control-and-administration-of-medication-cpd-accredited/289258#/courses/discount?pageno=2
48,"Level 3 Diploma in Gardening, Horticulture and Plant Nutrition - CPD Accredited",/courses/level-3-diploma-in-gardening-horticulture-and-plant-nutrition-cpd-accredited/456869#/courses/discount?pageno=2
49,Diploma of Mental Health Counselling and Psychology (Online) - CPD Certified,/courses/diploma-of-mental-health-counselling-and-psychology-online-cpd-certified/334671#/courses/discount?pageno=2
50,Payroll Administrator Training,/courses/payroll-administrator-training/269611#/courses/discount?pageno=3
51,Level 2 Food Safety and Hygiene for Catering,/courses/level-2-food-safety-and-hygiene-for-catering/357000#/courses/discount?pageno=3
52,"Payroll Administrator: Sage 50, Accountancy, Tax Accounting and Finance",/courses/payroll-administrator-sage-50-accountancy-tax-accounting-and-finance/359235#/courses/discount?pageno=3
53,"Complete Microsoft Office (Word, Excel, PowerPoint, 365) + Office Administration Training",/courses/complete-microsoft-office-word-excel-powerpoint-365--office-administration-training/492189#/courses/discount?pageno=3
54,COSHH Health and Safety Training for Cleaners,/courses/coshh-health-and-safety-training-for-cleaners/504057#/courses/discount?pageno=3
55,CACHE Level 3 Award in Childcare and Education RQF,/courses/cache-level-3-award-in-childcare-and-education-rqf/207047#/courses/discount?pageno=3
56,Functional Skills Maths Level 2 & Functional Skills English Level 2,/courses/functional-skills-maths-level-2-functional-skills-english-level-2/290079#/courses/discount?pageno=3
