,rating,review_text,course_name,provider
0,4.3/5,['<span></span><!---->'],"Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",Janets
1,4.3/5,"['<span>The course was value for money had problems with the course with videos not playing without sound and also stopping half way through .overall very  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>']","Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",Janets
2,4.6/5,['<span></span><!---->'],"Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",Janets
3,5.0/5,"['<span></span><!---->', '<span>Dear GERTRUDE,\r\n\r\nThank you so much for your 5-star review! We’re delighted to hear that you found the quality of service, course content, and value  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>']",Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,Care Skills Training
4,4.0/5,['<span>really enjoyed this course could do it on my own time learned alot.  only thing was it works out very expensive also buying certificate </span><!---->'],Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,Care Skills Training
5,3.0/5,"['<span>Certificates including digital ones aren’t included in the price. And they charge £10 per digital certificate so in the end this course costs more  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>']",Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,Care Skills Training
6,5.0/5,"['<span></span><!---->', '<span>Thank you for taking the time to review our college. We are pleased you have found our services 5* across the board.</span><!---->']",CACHE Level 3 Teaching Assistant & SEN Certificate,The Learning College Group
7,5.0/5,"['<span></span><!---->', '<span>Hello Sabrina\r\n\r\nThank you very much for taking the time to leave your review of our college, very much appreciated and we are pleased you were  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>']",CACHE Level 3 Teaching Assistant & SEN Certificate,The Learning College Group
8,5.0/5,['<span></span><!---->'],CACHE Level 3 Teaching Assistant & SEN Certificate,The Learning College Group
9,4.3/5,"['<span>Course was very detailed worth the money would recommend it, however it took 5 days for my digital certificate to get emailed to me; I even had to  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>', '<span>Dear Learner,\r\nThank you for your valuable feedback on our course. We appreciate your excellent rating of our course for quality of service, course  ... </span><span class=""d-inline show-more-link""><a href=""#"" class="""">Show more</a></span>']",Office Administration & Reception (Receptionist) Skills Training - Level 3 Diploma,Training Express Ltd
