course_title,course_link
Level 3 Diploma in Health and Social Care +  Care Certificate Standards (1 to 15) Course,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/348218
"Microsoft Office Skills (Microsoft Excel, Word, PowerPoint) Administration & Office Skills",https://www.reed.co.uk/courses/microsoft-office-skills-microsoft-excel-word-powerpoint-administration-office-skills/363674
Microsoft Excel Complete Course - Beginner To Professional (Updated 2025),https://www.reed.co.uk/courses/microsoft-excel-complete-course-beginner-to-professional-updated-2025/227846
"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",https://www.reed.co.uk/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/409690
Level 2 & 3 Diploma in Health and Social Care Certificate & Healthcare Assistant Course,https://www.reed.co.uk/courses/level-2-3-diploma-in-health-and-social-care-certificate-healthcare-assistant-course/358981
Level 5 Diploma in Health and Social Care with Care Certificate Standards (1 to 15),https://www.reed.co.uk/courses/level-5-diploma-in-health-and-social-care-with-care-certificate-standards-1-to-15/289964
Office Administration & Reception (Receptionist) Skills Training - Level 3 Diploma,https://www.reed.co.uk/courses/office-administration-reception-receptionist-skills-training-level-3-diploma/328334
CACHE Level 3 Teaching Assistant & SEN Certificate,https://www.reed.co.uk/courses/cache-level-3-teaching-assistant-sen-certificate/51553
Care Certificate Standards (1 to 16) + Level 2 & 3 diploma in Health and Social Care,https://www.reed.co.uk/courses/care-certificate-standards-1-to-16--level-2-3-diploma-in-health-and-social-care/477502
"Teaching Assistant (TA) with SEN Teaching Assistant, Autism, ADHD & Child Care",https://www.reed.co.uk/courses/teaching-assistant-ta-with-sen-teaching-assistant-autism-adhd-child-care/228586
Food Hygiene Level 2,https://www.reed.co.uk/courses/food-hygiene-level-2/277105
First Aid at Work Training,https://www.reed.co.uk/courses/first-aid-at-work-training/264321
Food Hygiene and Safety Level 3,https://www.reed.co.uk/courses/food-hygiene-and-safety-level-3/274566
"Teaching Assistant Level 3 + Early Years, Teaching and Child Care & SEN Teaching Assistant",https://www.reed.co.uk/courses/teaching-assistant-level-3--early-years-teaching-and-child-care-sen-teaching-assistant/413756
"Xero, Quickbooks, Sage 50 Bookkeeping with Accounting and Finance for Tax, Payroll & VAT",https://www.reed.co.uk/courses/xero-quickbooks-sage-50-bookkeeping-with-accounting-and-finance-for-tax-payroll-vat/229553
"Level 1, 2 & 3 Diploma in Food Hygiene and Safety for Catering with HACCP & Food Allergen",https://www.reed.co.uk/courses/level-1-2-3-diploma-in-food-hygiene-and-safety-for-catering-with-haccp-food-allergen/492254
Level 7 Advanced Diploma - Project Management for Project Manager,https://www.reed.co.uk/courses/level-7-advanced-diploma-project-management-for-project-manager/328019
Certificate in Bookkeeping with Basics of Accounting - Level 1 & 2,https://www.reed.co.uk/courses/certificate-in-bookkeeping-with-basics-of-accounting-level-1-2/474516
Level 3 Diploma in Health and Social Care + Care Certificate Standards (1 to 15) Course,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-15-course/288002
Level 3 Diploma in Health and Social Care with Care Certificate,https://www.reed.co.uk/courses/level-3-diploma-in-health-and-social-care-with-care-certificate/355468
"Microsoft Excel Complete Course - for Beginner, Intermediate & Advanced (Updated 2025)",https://www.reed.co.uk/courses/microsoft-excel-complete-course-for-beginner-intermediate-advanced-updated-2025/271792
Teaching Assistant Diploma Level 2 & 3,https://www.reed.co.uk/courses/teaching-assistant-diploma-level-2-3/313609
"Data Analytics, Power BI, Tableau, Python, Cloud Computing Analyst, Microsoft Excel & IT",https://www.reed.co.uk/courses/data-analytics-power-bi-tableau-python-cloud-computing-analyst-microsoft-excel-it/416128
"HR: Human Resources Management (Employment Law, UK Payroll & Recruitment) Diploma",https://www.reed.co.uk/courses/hr-human-resources-management-employment-law-uk-payroll-recruitment-diploma/327495
"First Aid and Paediatric First Aid: CPR, Oxygen First Aid, Childcare & Child Protection",https://www.reed.co.uk/courses/first-aid-and-paediatric-first-aid-cpr-oxygen-first-aid-childcare-child-protection/268295
"COSHH, Fire Safety with Health and Safety - CPD Accredited",https://www.reed.co.uk/courses/coshh-fire-safety-with-health-and-safety-cpd-accredited/501054#/courses
PRINCE2® Foundation — Exam Included,https://www.reed.co.uk/courses/prince2-foundation--exam-included/479873#/courses
"Advanced Diploma in Digital Marketing (Social Media Marketing, Google Ads, PPC, & SEO)",https://www.reed.co.uk/courses/advanced-diploma-in-digital-marketing-social-media-marketing-google-ads-ppc-seo/336624#/courses
Level 3 Safeguarding Children and Vulnerable Adult,https://www.reed.co.uk/courses/level-3-safeguarding-children-and-vulnerable-adult/479594#/courses
"Tax Accounting and Finance (Income Tax, Vat, Payroll, Corporate Tax & Financial  Analysis)",https://www.reed.co.uk/courses/tax-accounting-and-finance-income-tax-vat-payroll-corporate-tax-financial-analysis/360798#/courses
